Ind,Pop,Sample_pop,First_Assign_Pop,First_Per,Second_Assign_Pop,Second_per,Third_Assign_Pop,Third_Per,Fourth_Assign_Pop,Fourth_Per,Fifth_Assign_Pop,Fifth_Pop
QAc-G-0029,/AP,Pryor,Kessler,99.818,Magazine,0.181,Porter,0.001,Pryor,0,Sugarloaf,0
QAc-G-0030,/AP,Pryor,Pryor,99.918,Kessler,0.075,Magazine,0.007,Porter,0,Sugarloaf,0
QAc-G-0031,/AP,Pryor,Kessler,64.277,Pryor,35.689,Porter,0.023,Magazine,0.01,Sugarloaf,0
QAc-G-0061,/Arnold,Pryor,Kessler,99.995,Magazine,0.003,Pryor,0.002,Porter,0,Sugarloaf,0
QAc-G-0062,/Arnold,Magazine,Kessler,93.942,Magazine,6.023,Porter,0.025,Pryor,0.009,Sugarloaf,0
QAc-G-0063,/Arnold,Magazine,Magazine,51.974,Kessler,48.017,Porter,0.008,Pryor,0.001,Sugarloaf,0
QAc-G-0064,/Arnold,Magazine,Magazine,51.195,Pryor,48.788,Porter,0.017,Kessler,0,Sugarloaf,0
QAc-G-0065,/Arnold,Magazine,Pryor,99.778,Porter,0.221,Magazine,0.001,Kessler,0,Sugarloaf,0
QAc-G-0066,/Arnold,Magazine,Magazine,70.378,Kessler,28.3,Pryor,1.122,Porter,0.201,Sugarloaf,0
QAc-G-0067,/Arnold,Magazine,Kessler,99.392,Magazine,0.581,Pryor,0.026,Porter,0,Sugarloaf,0
QAc-G-0068,/Arnold,Magazine,Kessler,78.844,Porter,17.072,Magazine,3.598,Pryor,0.486,Sugarloaf,0
QAc-G-0070,/Arnold,Magazine,Kessler,99.207,Porter,0.77,Magazine,0.024,Pryor,0,Sugarloaf,0
QAc-G-0071,/Arnold,Magazine,Kessler,68.333,Magazine,30.697,Porter,0.966,Pryor,0.003,Sugarloaf,0
QAc-G-0072,/Arnold,Magazine,Magazine,89.087,Porter,10.832,Pryor,0.077,Kessler,0.003,Sugarloaf,0
QAc-G-0073,/Arnold,Porter,Kessler,99.998,Magazine,0.002,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0074,/Arnold,Porter,Porter,99.822,Pryor,0.136,Kessler,0.042,Sugarloaf,0,Magazine,0
QAc-G-0075,/Arnold,Porter,Kessler,98.071,Magazine,1.267,Porter,0.506,Sugarloaf,0.157,Pryor,0
QAc-G-0076,/Arnold,Porter,Kessler,97.853,Magazine,2.093,Porter,0.054,Sugarloaf,0,Pryor,0
QAc-G-0077,/Arnold,Pryor,Magazine,99.981,Kessler,0.018,Pryor,0.001,Porter,0,Sugarloaf,0
QAc-G-0078,/Arnold,Pryor,Kessler,57.796,Pryor,41.689,Magazine,0.515,Porter,0,Sugarloaf,0
QAc-G-0079,/Arnold,Pryor,Kessler,94.875,Pryor,5.03,Magazine,0.094,Porter,0,Sugarloaf,0
