Pop,Ind,Sample_Pop,Assign_Pop_1,Correct_Assignment,Percent_1,Assign_Pop_2,Percent_2,Assign_Pop_3,Percent_3,Assign_Pop_4,Percent_4,Assign_Pop_5,Percent_5
/Arnold,QAc-G-0061,Pryor,Kessler,N,54.042,Porter,45.955,Pryor,0.003,Magazine,0,Sugarloaf,0
/Arnold,QAc-G-0063,Magazine,Kessler,N,96.26,Magazine,2.506,Porter,1.228,Sugarloaf,0.005,Pryor,0.001
/Arnold,QAc-G-0066,Magazine,Kessler,N,75.666,Porter,13.934,Magazine,10.335,Pryor,0.057,Sugarloaf,0.008
/Arnold,QAc-G-0071,Magazine,Kessler,N,87.414,Magazine,7.869,Pryor,4.354,Porter,0.363,Sugarloaf,0
/Arnold,QAc-G-0072,Magazine,Kessler,N,98.827,Porter,1.166,Magazine,0.006,Sugarloaf,0.001,Pryor,0
/Arnold,QAc-G-0073,Porter,Kessler,N,99.907,Porter,0.093,Sugarloaf,0,Magazine,0,Pryor,0
/Arnold,QAc-G-0080,Pryor,Kessler,N,83.522,Pryor,11.566,Magazine,4.91,Sugarloaf,0.002,Porter,0
/Arnold,QAc-G-0081,Pryor,Kessler,N,54.725,Sugarloaf,39.986,Porter,5.148,Magazine,0.141,Pryor,0
/Arnold,QAc-G-0082,Sugarloaf,Kessler,N,91.592,Magazine,8.407,Sugarloaf,0.001,Pryor,0,Porter,0
/CBG,QAc-G-0286,,Kessler,NA,63.461,Magazine,28.196,Porter,8.34,Sugarloaf,0.002,Pryor,0
/CBG,QAc-G-0287,,Kessler,NA,99.299,Magazine,0.692,Porter,0.009,Pryor,0.001,Sugarloaf,0
/CBG,QAc-G-0288,,Kessler,NA,96.079,Sugarloaf,2.201,Magazine,1.435,Porter,0.285,Pryor,0
/CBG,QAc-G-0295,,Kessler,NA,93.252,Magazine,6.743,Porter,0.005,Sugarloaf,0.001,Pryor,0
/CBG,QAc-G-0296,,Kessler,NA,99.997,Porter,0.003,Sugarloaf,0,Magazine,0,Pryor,0
/CBG,QAc-G-0297,,Kessler,NA,96.425,Porter,2.284,Magazine,1.041,Pryor,0.247,Sugarloaf,0.003
/CBG,QAc-G-0301,,Kessler,NA,92.398,Porter,7.146,Sugarloaf,0.396,Magazine,0.06,Pryor,0
/CBG,QAc-G-0308,,Kessler,NA,99.879,Porter,0.112,Sugarloaf,0.007,Magazine,0.002,Pryor,0
/CBG,QAc-G-0315,,Kessler,NA,99.999,Porter,0.001,Sugarloaf,0,Magazine,0,Pryor,0
/CBG,QAc-G-0316,,Kessler,NA,71.509,Magazine,27.135,Porter,1.251,Sugarloaf,0.105,Pryor,0.001
/DBG,QAc-G-0035,Porter,Kessler,N,90.34,Sugarloaf,9.233,Porter,0.426,Pryor,0,Magazine,0
/DBG,QAc-G-0036,Porter,Kessler,N,87.397,Sugarloaf,12.6,Porter,0.003,Magazine,0,Pryor,0
/DBG,QAc-G-0037,Porter,Kessler,N,99.999,Porter,0.001,Magazine,0,Sugarloaf,0,Pryor,0
/DBG,QAc-G-0038,Porter,Kessler,N,99.067,Porter,0.929,Sugarloaf,0.003,Magazine,0.001,Pryor,0
/DBG,QAc-G-0040,Porter,Kessler,N,71.068,Porter,28.922,Sugarloaf,0.009,Magazine,0.001,Pryor,0
/DBG,QAc-G-0053,Pryor,Kessler,N,99.876,Sugarloaf,0.123,Porter,0.001,Magazine,0,Pryor,0
/DBG,QAc-G-0054,Pryor,Kessler,N,99.998,Sugarloaf,0.002,Porter,0,Pryor,0,Magazine,0
/DBG,QAc-G-0056,Pryor,Kessler,N,96.529,Porter,2.804,Magazine,0.657,Sugarloaf,0.011,Pryor,0
/FGT,QAc-G-0276,Magazine,Kessler,N,99.449,Porter,0.549,Magazine,0.001,Sugarloaf,0,Pryor,0
/FGT,QAc-G-0279,Porter,Kessler,N,78.706,Porter,13.671,Magazine,7.484,Sugarloaf,0.138,Pryor,0
/FGT,QAc-G-0280,Porter,Kessler,N,68.401,Porter,30.766,Magazine,0.833,Sugarloaf,0,Pryor,0
/HBG,QAc-G-0019,Porter,Kessler,N,54.536,Magazine,41.321,Porter,3.022,Sugarloaf,1.122,Pryor,0
/HBG,QAc-G-0020,Porter,Kessler,N,99.996,Porter,0.004,Sugarloaf,0,Magazine,0,Pryor,0
/Moore,QAc-G-0283,,Kessler,NA,99.997,Sugarloaf,0.003,Magazine,0,Pryor,0,Porter,0
/MA,QAc-G-0269,Magazine,Kessler,N,98.529,Magazine,1.464,Porter,0.007,Sugarloaf,0,Pryor,0
/MA,QAc-G-0270,Porter,Kessler,N,55.281,Porter,26.579,Sugarloaf,18.13,Magazine,0.011,Pryor,0
/Peckerwood,QAc-G-0252,Porter,Kessler,N,98.669,Porter,0.765,Sugarloaf,0.566,Magazine,0,Pryor,0
/Peckerwood,QAc-G-0253,Pryor,Kessler,N,89.552,Magazine,10.443,Pryor,0.004,Porter,0.002,Sugarloaf,0
/Peckerwood,QAc-G-0259,Magazine,Kessler,N,100,Sugarloaf,0,Pryor,0,Magazine,0,Porter,0
/Peckerwood,QAc-G-0260,Magazine,Kessler,N,99.99,Porter,0.007,Magazine,0.003,Pryor,0,Sugarloaf,0
/TMA,QAc-G-0011,,Kessler,NA,98.565,Sugarloaf,1.131,Porter,0.2,Magazine,0.085,Pryor,0.019
/TMA,QAc-G-0141,Magazine,Kessler,N,92.662,Sugarloaf,6.828,Porter,0.51,Pryor,0,Magazine,0
/TMA,QAc-G-0143,Magazine,Kessler,N,77.559,Porter,18.382,Sugarloaf,3.184,Magazine,0.839,Pryor,0.037
/TMA,QAc-G-0145,Magazine,Kessler,N,99.405,Porter,0.319,Magazine,0.273,Sugarloaf,0.003,Pryor,0
/TMA,QAc-G-0150,Magazine,Kessler,N,54.261,Magazine,44.308,Porter,1.391,Pryor,0.02,Sugarloaf,0.02
/TMA,QAc-G-0162,Magazine,Kessler,N,99.986,Porter,0.007,Magazine,0.007,Sugarloaf,0,Pryor,0
