Ind,Garden,First_Assign,%,,2,%,,3,%,,4,%,,5,%,,'-log(L),'-log(L),'-log(L),'-log(L),'-log(L),,,
QAc-G-0029,AP,Kessler_Mountain_W,99.818,,MagazineMountain_W,0.181,,PorterMountain_W,0.001,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,45.971,43.644,46.567,51.328,40.901,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0030,AP,PryorMountain_W,99.918,,Kessler_Mountain_W,0.075,,MagazineMountain_W,0.007,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,41.097,39.147,34.989,45.099,38.113,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0031,AP,Kessler_Mountain_W,64.277,,PryorMountain_W,35.689,,PorterMountain_W,0.023,,MagazineMountain_W,0.01,,Sugar_Loaf_Mountains_W,0,,40.749,41.104,37.559,46.858,37.303,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0061,Arnold,Kessler_Mountain_W,99.995,,MagazineMountain_W,0.003,,PryorMountain_W,0.002,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,48.789,45.607,45.776,53.954,41.092,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0062,Arnold,Kessler_Mountain_W,93.942,,MagazineMountain_W,6.023,,PorterMountain_W,0.025,,PryorMountain_W,0.009,,Sugar_Loaf_Mountains_W,0,,40.649,38.273,41.08,46.775,37.08,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0063,Arnold,MagazineMountain_W,51.974,,Kessler_Mountain_W,48.017,,PorterMountain_W,0.008,,PryorMountain_W,0.001,,Sugar_Loaf_Mountains_W,0,,39.441,35.637,40.46,46.298,35.671,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0064,Arnold,MagazineMountain_W,51.195,,PryorMountain_W,48.788,,PorterMountain_W,0.017,,Kessler_Mountain_W,0,,Sugar_Loaf_Mountains_W,0,,37.029,33.551,33.572,39.08,39.074,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0065,Arnold,PryorMountain_W,99.778,,PorterMountain_W,0.221,,MagazineMountain_W,0.001,,Kessler_Mountain_W,0,,Sugar_Loaf_Mountains_W,0,,39.283,41.76,36.628,53.54,44.12,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0066,Arnold,MagazineMountain_W,70.378,,Kessler_Mountain_W,28.3,,PryorMountain_W,1.122,,PorterMountain_W,0.201,,Sugar_Loaf_Mountains_W,0,,37.879,35.334,37.131,48.695,35.73,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0067,Arnold,Kessler_Mountain_W,99.392,,MagazineMountain_W,0.581,,PryorMountain_W,0.026,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,42.776,39.629,40.979,48.036,37.396,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
