Assigned sample,Ind,Sample_Pop,Assign_Pop_1,Percent_1,Assign_Pop_2,Percent_2,Assign_Pop_3,Percent_3,Assign_Pop_4,Percent_4,Assign_Pop_5,Percent_5
/AP,QAc-G-0029,Pryor,Sugarloaf,89.525,Porter,9.965,Magazine1,0.479,Kessler,0.023,Magazine2,0.009
/AP,QAc-G-0030,Pryor,Magazine2,45.867,Porter,32.579,Sugarloaf,14.535,Magazine1,6.344,Pryor,0.619
/Arnold,QAc-G-0061,Pryor,Kessler,53.842,Porter,45.786,Magazine1,0.367,Pryor,0.003,Magazine2,0.002
/Arnold,QAc-G-0062,Pryor,Magazine2,83.126,Magazine1,16.871,Kessler,0.002,Porter,0.002,Pryor,0
/Arnold,QAc-G-0063,Magazine,Kessler,91.935,Magazine1,6.838,Porter,1.173,Magazine2,0.049,Sugarloaf,0.005
/Arnold,QAc-G-0064,Magazine,Porter,89.131,Magazine2,5.723,Magazine1,3.605,Kessler,1.541,Sugarloaf,0
/Arnold,QAc-G-0065,Magazine,Magazine1,100,Porter,0,Magazine2,0,Pryor,0,Kessler,0
/Arnold,QAc-G-0066,Magazine,Kessler,49.819,Magazine2,40.623,Porter,9.175,Magazine1,0.341,Pryor,0.038
/Arnold,QAc-G-0067,Magazine,Magazine1,100,Magazine2,0,Kessler,0,Porter,0,Sugarloaf,0
/Arnold,QAc-G-0068,Magazine,Magazine1,100,Sugarloaf,0,Kessler,0,Porter,0,Pryor,0
/Arnold,QAc-G-0070,Magazine,Magazine2,98.577,Magazine1,0.996,Porter,0.342,Kessler,0.071,Sugarloaf,0.015
/Arnold,QAc-G-0071,Magazine,Kessler,84.237,Magazine1,6.046,Magazine2,5.171,Pryor,4.196,Porter,0.35
/Arnold,QAc-G-0072,Magazine,Kessler,98.594,Porter,1.163,Magazine2,0.241,Sugarloaf,0.001,Magazine1,0.001
/Arnold,QAc-G-0073,Porter,Kessler,99.906,Porter,0.093,Magazine1,0.001,Sugarloaf,0,Magazine2,0
/Arnold,QAc-G-0074,Porter,Porter,97.905,Kessler,2.088,Sugarloaf,0.006,Pryor,0.001,Magazine2,0
/Arnold,QAc-G-0075,Porter,Sugarloaf,69.1,Magazine1,23.585,Magazine2,6.467,Kessler,0.437,Porter,0.41
/Arnold,QAc-G-0076,Porter,Porter,99.83,Magazine1,0.165,Kessler,0.003,Magazine2,0.001,Sugarloaf,0
/Arnold,QAc-G-0080,Pryor,Magazine1,99.73,Kessler,0.237,Pryor,0.033,Magazine2,0,Sugarloaf,0
/Arnold,QAc-G-0081,Pryor,Kessler,44.958,Sugarloaf,32.85,Magazine2,17.961,Porter,4.229,Magazine1,0.002
/Arnold,QAc-G-0082,Sugarloaf,Kessler,61.344,Magazine1,38.653,Magazine2,0.003,Sugarloaf,0.001,Pryor,0
/Arnold,QAc-G-0083,Sugarloaf,Porter,99.606,Magazine2,0.158,Magazine1,0.128,Kessler,0.108,Pryor,0
/Bartlett,QAc-G-0001,Sugarloaf,Porter,80.13,Magazine1,19.425,Magazine2,0.367,Pryor,0.076,Kessler,0.002
/CBG,QAc-G-0285,,Magazine1,99.958,Porter,0.028,Kessler,0.012,Pryor,0.001,Magazine2,0
/CBG,QAc-G-0286,,Kessler,64.981,Magazine1,23.883,Porter,8.54,Magazine2,2.594,Sugarloaf,0.002
/CBG,QAc-G-0287,,Kessler,98.416,Magazine1,1.329,Magazine2,0.245,Porter,0.009,Pryor,0.001
/CBG,QAc-G-0288,,Kessler,87.97,Magazine2,9.693,Sugarloaf,2.015,Porter,0.261,Magazine1,0.061
/CBG,QAc-G-0292,,Magazine1,99.748,Kessler,0.168,Magazine2,0.065,Porter,0.018,Sugarloaf,0
/CBG,QAc-G-0294,,Porter,94.622,Magazine1,5.067,Kessler,0.31,Sugarloaf,0.001,Magazine2,0
/CBG,QAc-G-0295,,Kessler,80.366,Magazine1,19.56,Magazine2,0.069,Porter,0.004,Sugarloaf,0.001
/CBG,QAc-G-0296,,Kessler,99.997,Porter,0.003,Magazine1,0,Sugarloaf,0,Magazine2,0
/CBG,QAc-G-0297,,Kessler,59.105,Magazine1,39.335,Porter,1.4,Pryor,0.151,Magazine2,0.007
/CBG,QAc-G-0298,,Magazine1,94.781,Kessler,3.129,Porter,1.993,Sugarloaf,0.082,Magazine2,0.015
/CBG,QAc-G-0299,,Magazine1,86.084,Porter,13.647,Sugarloaf,0.218,Kessler,0.049,Magazine2,0.001
/CBG,QAc-G-0300,,Porter,68.892,Magazine1,24.672,Kessler,6.385,Magazine2,0.049,Sugarloaf,0.003
/CBG,QAc-G-0301,,Kessler,71.565,Magazine1,22.584,Porter,5.535,Sugarloaf,0.307,Magazine2,0.009
/CBG,QAc-G-0302,,Porter,94.976,Magazine1,4.45,Sugarloaf,0.388,Kessler,0.124,Pryor,0.062
/CBG,QAc-G-0303,,Magazine1,100,Pryor,0,Porter,0,Kessler,0,Sugarloaf,0
/CBG,QAc-G-0305,,Magazine1,95.345,Magazine2,3.852,Porter,0.608,Sugarloaf,0.186,Kessler,0.01
/CBG,QAc-G-0307,,Kessler,43.371,Porter,29.366,Magazine2,16.72,Magazine1,9.613,Sugarloaf,0.93
/CBG,QAc-G-0308,,Kessler,90.003,Magazine1,9.89,Porter,0.101,Sugarloaf,0.006,Magazine2,0
/CBG,QAc-G-0309,,Porter,51.225,Magazine1,29.516,Pryor,14.425,Magazine2,2.824,Sugarloaf,1.995
/CBG,QAc-G-0312,,Magazine1,95.971,Magazine2,2.574,Kessler,0.879,Porter,0.292,Sugarloaf,0.284
/CBG,QAc-G-0313,,Magazine2,79.659,Magazine1,11.687,Porter,8.216,Sugarloaf,0.317,Kessler,0.122
/CBG,QAc-G-0314,,Sugarloaf,78.487,Porter,16.899,Kessler,3.916,Magazine1,0.666,Pryor,0.032
/CBG,QAc-G-0315,,Kessler,99.999,Porter,0.001,Magazine1,0,Sugarloaf,0,Magazine2,0
/CBG,QAc-G-0316,,Magazine2,92.47,Kessler,7.135,Magazine1,0.259,Porter,0.125,Sugarloaf,0.01
/DBG,QAc-G-0032,Magazine,Magazine1,99.994,Kessler,0.006,Magazine2,0,Pryor,0,Sugarloaf,0
/DBG,QAc-G-0033,Porter,Sugarloaf,98.548,Porter,1.319,Magazine1,0.105,Kessler,0.029,Magazine2,0
/DBG,QAc-G-0034,Porter,Magazine1,61.661,Sugarloaf,34.023,Magazine2,3.272,Porter,1,Kessler,0.043
/DBG,QAc-G-0035,Porter,Kessler,89.795,Sugarloaf,9.178,Magazine1,0.603,Porter,0.424,Pryor,0
/DBG,QAc-G-0036,Porter,Kessler,87.381,Sugarloaf,12.597,Magazine1,0.016,Porter,0.003,Magazine2,0.002
/DBG,QAc-G-0037,Porter,Kessler,99.999,Porter,0.001,Magazine1,0,Magazine2,0,Sugarloaf,0
/DBG,QAc-G-0038,Porter,Kessler,99.064,Porter,0.929,Sugarloaf,0.003,Magazine1,0.003,Magazine2,0.001
/DBG,QAc-G-0039,Porter,Porter,99.693,Sugarloaf,0.286,Kessler,0.019,Magazine2,0.003,Magazine1,0
/DBG,QAc-G-0040,Porter,Kessler,70.323,Porter,28.619,Magazine1,1.05,Sugarloaf,0.009,Magazine2,0
/DBG,QAc-G-0045,Porter,Porter,84.109,Magazine1,14.413,Kessler,1.264,Sugarloaf,0.203,Magazine2,0.012
/DBG,QAc-G-0049,Pryor,Magazine1,90.606,Magazine2,5.557,Porter,3.829,Sugarloaf,0.005,Pryor,0.002
/DBG,QAc-G-0050,Pryor,Magazine1,99.98,Porter,0.02,Kessler,0,Magazine2,0,Pryor,0
/DBG,QAc-G-0052,Pryor,Magazine2,86.419,Magazine1,10.635,Kessler,2.946,Sugarloaf,0,Porter,0
/DBG,QAc-G-0053,Pryor,Kessler,99.146,Magazine2,0.485,Magazine1,0.246,Sugarloaf,0.122,Porter,0.001
/DBG,QAc-G-0054,Pryor,Kessler,99.998,Sugarloaf,0.002,Magazine1,0,Porter,0,Pryor,0
/DBG,QAc-G-0056,Pryor,Kessler,90.071,Magazine1,7.3,Porter,2.616,Sugarloaf,0.01,Magazine2,0.003
/FGT,QAc-G-0276,Magazine,Kessler,98.355,Magazine1,1.101,Porter,0.543,Sugarloaf,0,Magazine2,0
/FGT,QAc-G-0279,Porter,Kessler,77.507,Porter,13.463,Magazine2,8.564,Magazine1,0.33,Sugarloaf,0.136
/FGT,QAc-G-0280,Porter,Kessler,68.281,Porter,30.711,Magazine2,1.007,Magazine1,0.001,Sugarloaf,0
/FGT,QAc-G-0281,Pryor,Pryor,64.479,Porter,35.38,Magazine1,0.106,Magazine2,0.022,Kessler,0.012
/HBG,QAc-G-0018,Porter,Magazine1,99.96,Porter,0.023,Magazine2,0.012,Kessler,0.005,Sugarloaf,0
/HBG,QAc-G-0019,Porter,Magazine1,99.829,Kessler,0.158,Porter,0.009,Sugarloaf,0.003,Magazine2,0.001
/HBG,QAc-G-0020,Porter,Kessler,99.996,Porter,0.004,Magazine1,0,Sugarloaf,0,Magazine2,0
/HBG,QAc-G-0021,Pryor,Porter,99.946,Kessler,0.054,Magazine1,0,Magazine2,0,Sugarloaf,0
/HBG,QAc-G-0023,Pryor,Pryor,98.74,Magazine1,1.245,Sugarloaf,0.012,Porter,0.002,Kessler,0.001
/HBG,QAc-G-0016,Porter,Magazine2,98.226,Magazine1,1.768,Kessler,0.006,Sugarloaf,0.001,Porter,0
/HBG,QAc-G-0017,Porter,Magazine1,99.295,Magazine2,0.61,Porter,0.091,Sugarloaf,0.003,Pryor,0.001
/Meis,QAc-G-0250,,Porter,66.575,Kessler,33.421,Magazine2,0.003,Magazine1,0.001,Sugarloaf,0
/MBG,QAc-G-0003,,Magazine1,97.996,Porter,1.148,Kessler,0.853,Magazine2,0.002,Sugarloaf,0
/MBG,QAc-G-0004,,Magazine1,100,Pryor,0,Kessler,0,Sugarloaf,0,Magazine2,0
/MBG,QAc-G-0005,,Magazine1,100,Porter,0,Kessler,0,Magazine2,0,Sugarloaf,0
/MBG,QAc-G-0006,,Magazine1,96.556,Kessler,3.437,Magazine2,0.007,Pryor,0,Porter,0
/Moore,QAc-G-0283,,Kessler,99.996,Sugarloaf,0.003,Magazine2,0.001,Magazine1,0,Pryor,0
/MA,QAc-G-0265,Pryor,Magazine1,99.091,Sugarloaf,0.877,Porter,0.027,Kessler,0.005,Magazine2,0
/MA,QAc-G-0266,Pryor,Magazine2,49.848,Magazine1,49.61,Porter,0.386,Sugarloaf,0.1,Kessler,0.047
/MA,QAc-G-0267,Magazine,Magazine1,90.845,Kessler,7.08,Porter,2.074,Magazine2,0,Pryor,0
/MA,QAc-G-0268,Magazine,Magazine1,84.809,Porter,11.987,Kessler,3.172,Magazine2,0.032,Pryor,0
/MA,QAc-G-0269,Magazine,Kessler,93.24,Magazine2,6.622,Magazine1,0.131,Porter,0.007,Sugarloaf,0
/MA,QAc-G-0270,Porter,Kessler,53.492,Porter,25.719,Sugarloaf,17.543,Magazine1,3.245,Magazine2,0
/MA,QAc-G-0271,Porter,Porter,99.891,Magazine1,0.108,Sugarloaf,0.001,Kessler,0,Magazine2,0
/MA,QAc-G-0273,Magazine,Porter,96.892,Magazine1,2.915,Magazine2,0.182,Pryor,0.01,Sugarloaf,0
