Ind,Garden,First_Assign,Sample_Pop,First_per,Second_Assign,Second_Per,Third_Assign,Third_Per,Fourth_Assign,Fourth_Per,Fifth_Assign,Fifth_Per
QAc-G-0029,/AP,Kessler,Pryor,100,Magazine,0,Sugarloaf,0,Porter,0,Pryor,0
QAc-G-0030,/AP,Kessler,Pryor,99.753,Pryor,0.239,Magazine,0.008,Sugarloaf,0,Porter,0
QAc-G-0031,/AP,Kessler,Pryor,99.906,Pryor,0.085,Porter,0.009,Magazine,0,Sugarloaf,0
QAc-G-0061,/Arnold,Kessler,Pryor,100,Pryor,0,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0062,/Arnold,Kessler,Pryor,100,Magazine,0,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0063,/Arnold,Kessler,Magazine,100,Pryor,0,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0064,/Arnold,Pryor,Magazine,80.119,Porter,14.542,Magazine,3.252,Kessler,2.087,Sugarloaf,0
QAc-G-0065,/Arnold,Porter,Magazine,77.297,Pryor,22.206,Kessler,0.288,Magazine,0.209,Sugarloaf,0
QAc-G-0066,/Arnold,Kessler,Magazine,99.667,Pryor,0.332,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0067,/Arnold,Kessler,Magazine,99.413,Magazine,0.587,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0068,/Arnold,Kessler,Magazine,99.862,Pryor,0.135,Magazine,0.002,Porter,0.001,Sugarloaf,0
QAc-G-0070,/Arnold,Kessler,Magazine,99.821,Magazine,0.165,Pryor,0.014,Porter,0.001,Sugarloaf,0
QAc-G-0071,/Arnold,Kessler,Magazine,99.997,Pryor,0.003,Porter,0.001,Magazine,0,Sugarloaf,0
QAc-G-0072,/Arnold,Kessler,Magazine,99.921,Pryor,0.042,Porter,0.037,Magazine,0.001,Sugarloaf,0
QAc-G-0073,/Arnold,Kessler,Porter,100,Porter,0,Magazine,0,Sugarloaf,0,Pryor,0
QAc-G-0074,/Arnold,Kessler,Porter,98.315,Pryor,1.581,Porter,0.104,Sugarloaf,0,Magazine,0
QAc-G-0075,/Arnold,Magazine,Porter,96.251,Kessler,2.313,Sugarloaf,1.43,Porter,0.007,Pryor,0
QAc-G-0076,/Arnold,Kessler,Porter,99.987,Magazine,0.013,Porter,0.001,Pryor,0,Sugarloaf,0
