"","AP","Arnold","Bartlett","CBG","DBG","FGT","HBG","Meis","MBG","Moore","MA","Peckerwood","TMA","TTA","USNA","UWBG","ZBGP","Porter","Magazine","Pryor","Sugar_Loaf","Kessler"
"0C11",0,0.17,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14,5.55e-14
"1G13",0,1.28e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G07",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1F02",1.11e-11,1.37e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIR031",0,0.000143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOT009",0,4.97e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POR016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIR013",0,1.73e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIR043",0,5.72e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOTO40",0,0.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIE039",0.0313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIR53",0.986,0.003,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651
"FIR048",0,0.00148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIE125",0.000271,0.00962,0.000474,0.000474,0.000474,0.000474,0.000474,0.000474,0.000474,0.000474,0.000474,0.000474,0.000474,0.000474,0.000474,0.000474,0.000474,0.000474,0.000474,0.000474,0.000474,0.000474
"QpZAG9",0,0.00104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
