"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",121,41,70,74,6,NA,NA,NA,NA
"2 or more copies",120,40,69,74,6,NA,NA,NA,NA
"3 or more copies",119,39,68,74,6,NA,NA,NA,NA
"4 or more copies",118,39,68,73,6,NA,NA,NA,NA
"5 or more copies",117,39,68,72,6,NA,NA,NA,NA
"6 or more copies",116,39,67,71,6,NA,NA,NA,NA
"7 or more copies",115,38,66,71,6,NA,NA,NA,NA
"8 or more copies",114,38,65,70,6,NA,NA,NA,NA
"9 or more copies",113,38,64,69,6,NA,NA,NA,NA
"10 or more copies",112,38,63,68,6,NA,NA,NA,NA
