"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"One Copy","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"> 1 Copy","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"> 2 Copies","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"> 3 Copies","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"> 4 Copies","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"> 5 Copies","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"> 6 Copies","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"> 7 Copies","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"> 8 Copies","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"> 9 Copies","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"> 10 Copies","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NaN% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
