Ind,Pop,Longitude,Latitude,0C11 - 1,0C11 - 2,1G13 - 1,1G13 - 2,G07 - 1,G07 - 2,1F02 - 1,1F02 - 2,FIR031 - 1,FIR031 - 2,GOT009 - 1,GOT009 - 2,POR016 - 1,POR016 - 2,FIR013 - 1,FIR013 - 2,FIR043 - 1,FIR043 - 2,GOTO40 - 1,GOTO40 - 2,PIE039 - 1,PIE039 - 2,FIR53 - 1,FIR53 - 2,FIR048 - 1,FIR048 - 2,PIE125 - 1,PIE125 - 2,QpZAG9 - 1,QpZAG9 - 2
QAc-W-0001,PorterMountain_W,-94.059579,34.386295,200,208,171,187,206,208,161,157,166,140,235,237,118,118,139,139,116,114,232,232,165,165,140,140,206,192,151,151,256,258
QAc-W-0002,PorterMountain_W,-94.059931,34.386268,200,200,171,173,206,206,161,161,146,140,235,237,118,118,139,137,116,114,232,238,165,161,140,134,210,192,157,154,258,248
QAc-W-0003,PorterMountain_W,-94.060836,34.386238,200,208,171,189,206,206,167,161,146,152,233,233,118,118,139,139,118,114,232,232,165,165,140,140,210,194,151,157,256,258
QAc-W-0004,PorterMountain_W,-94.060836,34.386238,200,200,171,189,206,206,161,161,148,152,235,233,118,118,139,139,116,116,232,232,165,165,140,140,206,208,151,151,256,258
QAc-W-0005,PorterMountain_W,-94.060904,34.386255,200,200,171,189,206,208,163,161,140,152,237,233,118,118,139,139,116,114,232,232,165,165,137,140,206,210,151,151,254,254
QAc-W-0006,PorterMountain_W,-94.060922,34.386243,200,208,171,189,206,206,161,161,148,152,233,233,118,118,139,139,116,116,232,238,165,165,137,140,206,208,151,157,256,256
QAc-W-0007,PorterMountain_W,-94.060871,34.386351,200,208,189,189,0,0,0,0,144,152,235,233,118,118,139,139,116,114,232,232,165,165,137,140,206,208,151,157,256,258
QAc-W-0008,PorterMountain_W,-94.060871,34.386376,200,208,173,189,206,208,161,161,150,152,235,233,118,118,139,139,116,114,232,232,165,161,137,125,204,208,0,0,256,246
QAc-W-0009,PorterMountain_W,-94.061682,34.386076,210,208,173,173,206,206,161,161,138,144,239,243,118,118,139,137,116,114,232,238,165,165,140,134,210,202,157,157,256,246
QAc-W-0010,PorterMountain_W,-94.064493,34.386348,200,200,171,173,206,208,167,157,154,152,235,233,118,118,139,139,116,116,232,232,165,165,137,137,210,202,151,151,254,248
QAc-W-0011,PorterMountain_W,-94.064493,34.386348,212,200,173,189,206,206,161,153,144,152,237,233,118,118,139,139,116,122,232,232,165,165,137,140,206,210,151,157,246,252
QAc-W-0012,PorterMountain_W,-94.064436,34.386375,212,200,175,173,206,206,167,157,140,152,233,233,118,124,139,137,114,114,232,232,165,165,140,134,210,208,151,154,248,260
QAc-W-0013,PorterMountain_W,-94.064441,34.386301,200,200,171,181,206,206,163,161,144,158,229,233,118,118,139,137,116,130,232,232,165,165,134,134,210,192,151,157,246,248
QAc-W-0014,PorterMountain_W,-94.064292,34.386334,200,218,171,173,206,208,167,161,152,152,235,237,118,118,139,139,116,112,232,232,165,165,137,140,192,208,151,151,258,260
QAc-W-0015,PorterMountain_W,-94.064209,34.38637,200,224,181,173,206,206,163,161,144,144,235,237,118,118,139,139,112,118,232,232,165,165,140,134,210,192,151,151,248,248
QAc-W-0016,PorterMountain_W,-94.064206,34.38632,200,206,189,189,206,208,165,163,150,152,235,235,118,118,139,139,116,116,232,232,165,167,137,137,208,208,151,151,256,258
QAc-W-0017,PorterMountain_W,-94.064098,34.386366,200,224,171,181,206,206,163,161,154,140,237,245,118,118,139,139,118,118,232,232,165,161,137,137,210,194,157,157,256,242
QAc-W-0018,PorterMountain_W,-94.063909,34.386301,210,202,181,187,206,208,163,167,152,152,235,237,118,118,139,139,116,126,232,232,165,165,137,140,206,206,151,157,258,252
