Ind,Pop,Sampled From,First _Pop,Percent_1,Second_Pop,Percent_2,Third_Pop,Percent_3,Fourth_Pop,Percent_4,Fifth_Pop,Percent_5
QAc-G-0029,/AP,Pryor,SL,89.161,Porter,9.924,Magazine,0.891,Kessler,0.023,Pryor,0
QAc-G-0030,/AP,Pryor,Magazine,88.571,Porter,7.792,SL,3.476,Pryor,0.148,Kessler,0.013
QAc-G-0061,/Arnold,Pryor,Kessler,54.042,Porter,45.955,Pryor,0.003,Magazine,0,SL,0
QAc-G-0062,/Arnold,Pryor,Magazine,99.999,Kessler,0,Porter,0,Pryor,0,SL,0
QAc-G-0063,/Arnold,Magazine,Kessler,96.26,Magazine,2.506,Porter,1.228,SL,0.005,Pryor,0.001
QAc-G-0064,/Arnold,Magazine,Porter,93.109,Magazine,5.281,Kessler,1.61,SL,0,Pryor,0
QAc-G-0065,/Arnold,Magazine,Magazine,99.759,Porter,0.241,Pryor,0,Kessler,0,SL,0
QAc-G-0066,/Arnold,Magazine,Kessler,75.666,Porter,13.934,Magazine,10.335,Pryor,0.057,SL,0.008
QAc-G-0067,/Arnold,Magazine,Magazine,99.997,Kessler,0.003,Porter,0,SL,0,Pryor,0
QAc-G-0068,/Arnold,Magazine,Magazine,99.991,SL,0.004,Kessler,0.004,Porter,0,Pryor,0
QAc-G-0070,/Arnold,Magazine,Magazine,94.709,Porter,4.229,Kessler,0.875,SL,0.187,Pryor,0
QAc-G-0071,/Arnold,Magazine,Kessler,87.414,Magazine,7.869,Pryor,4.354,Porter,0.363,SL,0
QAc-G-0072,/Arnold,Magazine,Kessler,98.827,Porter,1.166,Magazine,0.006,SL,0.001,Pryor,0
QAc-G-0073,/Arnold,Porter,Kessler,99.907,Porter,0.093,SL,0,Magazine,0,Pryor,0
QAc-G-0074,/Arnold,Porter,Porter,97.906,Kessler,2.088,SL,0.006,Pryor,0.001,Magazine,0
