Tissue_Name,Longitude,Latitude,Pop_Source
QAc-G-0025,-93.65041,35.17057,Magazine
QAc-G-0026,-93.65041,35.17057,Magazine
QAc-G-0027,-93.66577,35.16724,Magazine
QAc-G-0032,-93.3910476,35.1015708,Magazine
QAc-G-0064,-93.391476,35.101405,Magazine
QAc-G-0065,-93.391476,35.101405,Magazine
QAc-G-0066,-93.391476,35.101405,Magazine
QAc-G-0067,-93.391476,35.101405,Magazine
QAc-G-0068,-93.391476,35.101405,Magazine
QAc-G-0069,-93.391476,35.101405,Magazine
QAc-G-0070,-93.395677,35.102064,Magazine
QAc-G-0071,-93.395677,35.102064,Magazine
QAc-G-0072,-93.395677,35.102064,Magazine
QAc-G-0083,-93.395699,35.100368,Magazine
QAc-G-0084,-93.65291,35.17103,Magazine
QAc-G-0085,-93.65291,35.17103,Magazine
QAc-G-0086,-93.65291,35.17103,Magazine
QAc-G-0087,-93.65291,35.17103,Magazine
QAc-G-0088,-93.65291,35.17103,Magazine
QAc-G-0089,-93.65041,35.17057,Magazine
QAc-G-0090,-93.66577,35.16724,Magazine
QAc-G-0091,-93.66577,35.16724,Magazine
QAc-G-0106,-93.65291,35.17103,Magazine
QAc-G-0107,-93.65291,35.17103,Magazine
QAc-G-0108,-93.65291,35.17103,Magazine
QAc-G-0109,-93.65291,35.17103,Magazine
QAc-G-0110,-93.65291,35.17103,Magazine
QAc-G-0111,-93.65291,35.17103,Magazine
QAc-G-0112,-93.65291,35.17103,Magazine
QAc-G-0113,-93.65291,35.17103,Magazine
QAc-G-0114,-93.65291,35.17103,Magazine
QAc-G-0115,-93.65291,35.17103,Magazine
QAc-G-0116,-93.65291,35.17103,Magazine
QAc-G-0117,-93.65291,35.17103,Magazine
QAc-G-0118,-93.65291,35.17103,Magazine
QAc-G-0119,-93.65291,35.17103,Magazine
QAc-G-0120,-93.65291,35.17103,Magazine
QAc-G-0121,-93.65291,35.17103,Magazine
QAc-G-0122,-93.65291,35.17103,Magazine
QAc-G-0123,-93.65291,35.17103,Magazine
QAc-G-0124,-93.65291,35.17103,Magazine
QAc-G-0125,-93.65291,35.17103,Magazine
QAc-G-0126,-93.65291,35.17103,Magazine
QAc-G-0127,-93.65291,35.17103,Magazine
QAc-G-0128,-93.65291,35.17103,Magazine
QAc-G-0129,-93.65291,35.17103,Magazine
QAc-G-0130,-93.65291,35.17103,Magazine
QAc-G-0131,-93.65041,35.17057,Magazine
QAc-G-0132,-93.65041,35.17057,Magazine
QAc-G-0133,-93.65041,35.17057,Magazine
QAc-G-0134,-93.65041,35.17057,Magazine
QAc-G-0135,-93.65041,35.17057,Magazine
QAc-G-0136,-93.65041,35.17057,Magazine
QAc-G-0137,-93.65041,35.17057,Magazine
QAc-G-0138,-93.65041,35.17057,Magazine
QAc-G-0139,-93.65041,35.17057,Magazine
QAc-G-0140,-93.65041,35.17057,Magazine
QAc-G-0141,-93.65041,35.17057,Magazine
QAc-G-0142,-93.65041,35.17057,Magazine
QAc-G-0143,-93.65041,35.17057,Magazine
QAc-G-0144,-93.65041,35.17057,Magazine
QAc-G-0145,-93.65041,35.17057,Magazine
QAc-G-0146,-93.65041,35.17057,Magazine
QAc-G-0147,-93.65041,35.17057,Magazine
QAc-G-0148,-93.65041,35.17057,Magazine
QAc-G-0149,-93.65041,35.17057,Magazine
QAc-G-0150,-93.65041,35.17057,Magazine
QAc-G-0151,-93.65041,35.17057,Magazine
QAc-G-0152,-93.65041,35.17057,Magazine
QAc-G-0153,-93.65041,35.17057,Magazine
QAc-G-0154,-93.65041,35.17057,Magazine
QAc-G-0155,-93.65041,35.17057,Magazine
QAc-G-0156,-93.65041,35.17057,Magazine
QAc-G-0157,-93.65041,35.17057,Magazine
QAc-G-0158,-93.65041,35.17057,Magazine
QAc-G-0159,-93.65041,35.17057,Magazine
QAc-G-0160,-93.65041,35.17057,Magazine
QAc-G-0161,-93.65041,35.17057,Magazine
QAc-G-0162,-93.65041,35.17057,Magazine
QAc-G-0163,-93.65041,35.17057,Magazine
QAc-G-0164,-93.65041,35.17057,Magazine
QAc-G-0165,-93.65041,35.17057,Magazine
QAc-G-0166,-93.65041,35.17057,Magazine
QAc-G-0167,-93.65041,35.17057,Magazine
QAc-G-0168,-93.65041,35.17057,Magazine
QAc-G-0169,-93.65041,35.17057,Magazine
QAc-G-0170,-93.65041,35.17057,Magazine
QAc-G-0171,-93.65041,35.17057,Magazine
QAc-G-0172,-93.65041,35.17057,Magazine
QAc-G-0173,-93.65041,35.17057,Magazine
QAc-G-0174,-93.65041,35.17057,Magazine
QAc-G-0175,-93.65041,35.17057,Magazine
QAc-G-0176,-93.65041,35.17057,Magazine
QAc-G-0177,-93.65041,35.17057,Magazine
QAc-G-0178,-93.65041,35.17057,Magazine
QAc-G-0179,-93.65041,35.17057,Magazine
QAc-G-0180,-93.65041,35.17057,Magazine
QAc-G-0181,-93.65041,35.17057,Magazine
QAc-G-0182,-93.65041,35.17057,Magazine
QAc-G-0183,-93.65041,35.17057,Magazine
QAc-G-0184,-93.65041,35.17057,Magazine
QAc-G-0185,-93.66577,35.16724,Magazine
QAc-G-0186,-93.66577,35.16724,Magazine
QAc-G-0187,-93.66577,35.16724,Magazine
QAc-G-0188,-93.66577,35.16724,Magazine
QAc-G-0189,-93.66577,35.16724,Magazine
QAc-G-0190,-93.66577,35.16724,Magazine
QAc-G-0191,-93.66577,35.16724,Magazine
QAc-G-0192,-93.66577,35.16724,Magazine
QAc-G-0193,-93.66577,35.16724,Magazine
QAc-G-0194,-93.66577,35.16724,Magazine
QAc-G-0195,-93.66577,35.16724,Magazine
QAc-G-0196,-93.66577,35.16724,Magazine
QAc-G-0197,-93.66577,35.16724,Magazine
QAc-G-0198,-93.66577,35.16724,Magazine
QAc-G-0199,-93.66577,35.16724,Magazine
QAc-G-0200,-93.66577,35.16724,Magazine
QAc-G-0201,-93.66577,35.16724,Magazine
QAc-G-0202,-93.66577,35.16724,Magazine
QAc-G-0203,-93.66577,35.16724,Magazine
QAc-G-0255,-93.65041,35.17057,Magazine
QAc-G-0256,-93.65041,35.17057,Magazine
QAc-G-0257,-93.65041,35.17057,Magazine
QAc-G-0258,-93.65041,35.17057,Magazine
QAc-G-0259,-93.65041,35.17057,Magazine
QAc-G-0260,-93.65041,35.17057,Magazine
QAc-G-0261,-93.65041,35.17057,Magazine
QAc-G-0262,-93.65041,35.17057,Magazine
QAc-G-0267,-93.395699,35.100368,Magazine
QAc-G-0268,-93.395677,35.1002064,Magazine
QAc-G-0269,-93.395677,35.1002064,Magazine
QAc-G-0273,-93.391476,35.101405,Magazine
QAc-G-0276,-93.56041,35.17057,Magazine
QAc-G-0277,-93.56041,35.17057,Magazine
QAc-G-0016,-94.06165,34.38602,Porter
QAc-G-0017,-94.06165,34.38602,Porter
QAc-G-0018,-94.06165,34.38602,Porter
QAc-G-0019,-94.06165,34.38602,Porter
QAc-G-0020,-94.06165,34.38602,Porter
QAc-G-0028,-94.06165,34.38602,Porter
QAc-G-0033,-94.34194,34.239672,Porter
QAc-G-0034,-94.34194,34.239672,Porter
QAc-G-0035,-94.34194,34.239672,Porter
QAc-G-0036,-94.34194,34.239672,Porter
QAc-G-0037,-94.34194,34.239672,Porter
QAc-G-0038,-94.34194,34.239672,Porter
QAc-G-0039,-94.34194,34.239672,Porter
QAc-G-0040,-94.34194,34.239672,Porter
QAc-G-0041,-94.34194,34.239672,Porter
QAc-G-0042,-94.34194,34.239672,Porter
QAc-G-0043,-94.34194,34.239672,Porter
QAc-G-0044,-94.34194,34.239672,Porter
QAc-G-0045,-94.34194,34.239672,Porter
QAc-G-0046,-94.34194,34.239672,Porter
QAc-G-0047,-94.34194,34.239672,Porter
QAc-G-0048,-94.34194,34.239672,Porter
QAc-G-0092,-94.06165,34.38602,Porter
QAc-G-0093,-94.06165,34.38602,Porter
QAc-G-0094,-94.06165,34.38602,Porter
QAc-G-0095,-94.06165,34.38602,Porter
QAc-G-0096,-94.06165,34.38602,Porter
QAc-G-0097,-94.06165,34.38602,Porter
QAc-G-0098,-94.06165,34.38602,Porter
QAc-G-0226,-94.06165,34.38602,Porter
QAc-G-0227,-94.06165,34.38602,Porter
QAc-G-0228,-94.06165,34.38602,Porter
QAc-G-0229,-94.06165,34.38602,Porter
QAc-G-0230,-94.06165,34.38602,Porter
QAc-G-0231,-94.06165,34.38602,Porter
QAc-G-0232,-94.06165,34.38602,Porter
QAc-G-0233,-94.06165,34.38602,Porter
QAc-G-0234,-94.06165,34.38602,Porter
QAc-G-0235,-94.06165,34.38602,Porter
QAc-G-0236,-94.06165,34.38602,Porter
QAc-G-0237,-94.06165,34.38602,Porter
QAc-G-0238,-94.06165,34.38602,Porter
QAc-G-0239,-94.06165,34.38602,Porter
QAc-G-0240,-94.06165,34.38602,Porter
QAc-G-0241,-94.06165,34.38602,Porter
QAc-G-0242,-94.06165,34.38602,Porter
QAc-G-0243,-94.06165,34.38602,Porter
QAc-G-0244,-94.06165,34.38602,Porter
QAc-G-0245,-94.06165,34.38602,Porter
QAc-G-0246,-94.06165,34.38602,Porter
QAc-G-0247,-94.06165,34.38602,Porter
QAc-G-0251,-94.06165,34.38602,Porter
QAc-G-0252,-94.06165,34.38602,Porter
QAc-G-0278,-94.06165,34.38602,Porter
QAc-G-0279,-94.06165,34.38602,Porter
QAc-G-0280,-94.06165,34.38602,Porter
QAc-G-0021,-93.87164,34.36113,Pryor
QAc-G-0022,-93.87164,34.36113,Pryor
QAc-G-0023,-93.87164,34.36113,Pryor
QAc-G-0024,-93.87164,34.36113,Pryor
QAc-G-0029,-93.88,34.34,Pryor
QAc-G-0030,-93.88,34.34,Pryor
QAc-G-0031,-93.88,34.34,Pryor
QAc-G-0049,-93.5217904,34.2140068,Pryor
QAc-G-0050,-93.5217904,34.2140068,Pryor
QAc-G-0051,-93.5217904,34.2140068,Pryor
QAc-G-0052,-93.5217904,34.2140068,Pryor
QAc-G-0053,-93.5217904,34.2140068,Pryor
QAc-G-0054,-93.5217904,34.2140068,Pryor
QAc-G-0055,-93.5217904,34.2140068,Pryor
QAc-G-0056,-93.5217904,34.2140068,Pryor
QAc-G-0057,-93.5217904,34.2140068,Pryor
QAc-G-0058,-93.5217904,34.2140068,Pryor
QAc-G-0059,-93.5217904,34.2140068,Pryor
QAc-G-0060,-93.5217904,34.2140068,Pryor
QAc-G-0077,-93.52179,34.214006,Pryor
QAc-G-0078,-93.52179,34.214006,Pryor
QAc-G-0079,-93.52179,34.214006,Pryor
QAc-G-0080,-93.52179,34.214006,Pryor
QAc-G-0099,-93.87164,34.36113,Pryor
QAc-G-0100,-93.87164,34.36113,Pryor
QAc-G-0101,-93.87164,34.36113,Pryor
QAc-G-0102,-93.87164,34.36113,Pryor
QAc-G-0103,-93.87164,34.36113,Pryor
QAc-G-0104,-93.87164,34.36113,Pryor
QAc-G-0105,-93.87164,34.36113,Pryor
QAc-G-0204,-93.87164,34.36113,Pryor
QAc-G-0205,-93.87164,34.36113,Pryor
QAc-G-0206,-93.87164,34.36113,Pryor
QAc-G-0207,-93.87164,34.36113,Pryor
QAc-G-0208,-93.87164,34.36113,Pryor
QAc-G-0209,-93.87164,34.36113,Pryor
QAc-G-0210,-93.87164,34.36113,Pryor
QAc-G-0211,-93.87164,34.36113,Pryor
QAc-G-0212,-93.87164,34.36113,Pryor
QAc-G-0213,-93.87164,34.36113,Pryor
QAc-G-0214,-93.87164,34.36113,Pryor
QAc-G-0215,-93.87164,34.36113,Pryor
QAc-G-0216,-93.87164,34.36113,Pryor
QAc-G-0217,-93.87164,34.36113,Pryor
QAc-G-0218,-93.87164,34.36113,Pryor
QAc-G-0219,-93.87164,34.36113,Pryor
QAc-G-0220,-93.87164,34.36113,Pryor
QAc-G-0221,-93.87164,34.36113,Pryor
QAc-G-0222,-93.87164,34.36113,Pryor
QAc-G-0223,-93.87164,34.36113,Pryor
QAc-G-0224,-93.87164,34.36113,Pryor
QAc-G-0225,-93.87164,34.36113,Pryor
QAc-G-0253,-93.87164,34.36113,Pryor
QAc-G-0254,-93.87164,34.36113,Pryor
QAc-G-0270,-93.34194,34.239672,Pryor
