Ind,Sample,First_Assign,First_Per,Second_Assign,Second_Per,Third_Assign,Third_Per,Fourth_Assign,Fourth_Per,Fifth_Assign,Fifth_Per
QAc-G-0029,/AP,Magazine,69.101,Kessler,30.898,Pryor,0.001,Porter,0,Sugar_Loaf,0
QAc-G-0030,/AP,Magazine,99.713,Pryor,0.212,Kessler,0.074,Porter,0.002,Sugar_Loaf,0
QAc-G-0031,/AP,Kessler,95.033,Magazine,3.122,Pryor,1.782,Porter,0.063,Sugar_Loaf,0
QAc-G-0061,/Arnold,Kessler,99.986,Magazine,0.014,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0062,/Arnold,Kessler,99.997,Magazine,0.003,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0063,/Arnold,Magazine,83.292,Kessler,16.696,Pryor,0.012,Porter,0,Sugar_Loaf,0
QAc-G-0064,/Arnold,Pryor,96.189,Magazine,3.811,Porter,0,Kessler,0,Sugar_Loaf,0
QAc-G-0065,/Arnold,Pryor,98.681,Magazine,1.102,Porter,0.217,Kessler,0,Sugar_Loaf,0
QAc-G-0066,/Arnold,Kessler,93.132,Pryor,6.835,Magazine,0.034,Sugar_Loaf,0,Porter,0
QAc-G-0067,/Arnold,Magazine,100,Kessler,0,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0068,/Arnold,Kessler,96.642,Pryor,2.875,Magazine,0.483,Sugar_Loaf,0,Porter,0
QAc-G-0070,/Arnold,Kessler,65.627,Magazine,34.35,Pryor,0.023,Sugar_Loaf,0,Porter,0
QAc-G-0071,/Arnold,Kessler,99.936,Pryor,0.064,Magazine,0,Porter,0,Sugar_Loaf,0
QAc-G-0072,/Arnold,Kessler,60.696,Pryor,30.236,Magazine,9.066,Porter,0.001,Sugar_Loaf,0
QAc-G-0073,/Arnold,Kessler,98.382,Magazine,1.618,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0074,/Arnold,Kessler,95.579,Pryor,4.406,Porter,0.01,Sugar_Loaf,0.005,Magazine,0
QAc-G-0075,/Arnold,Magazine,96.986,Sugar_Loaf,3,Kessler,0.014,Porter,0,Pryor,0
QAc-G-0076,/Arnold,Kessler,99.98,Magazine,0.02,Porter,0,Pryor,0,Sugar_Loaf,0
