Ind,Sample,First_Assign,First_Per,Second_Assign,Second_Per,Third_Assign,Third_Per,Fourth_Assign,Fourth_Per,Fifth_Assign,Fifth_Per
QAc-G-0029,/AP,Sugar_Loaf,77.532,Pryor,22.417,Magazine,0.036,Porter,0.015,Kessler,0
QAc-G-0030,/AP,Pryor,99.066,Kessler,0.788,Magazine,0.086,Sugar_Loaf,0.043,Porter,0.017
QAc-G-0062,/Arnold,Magazine,99.705,Kessler,0.295,Sugar_Loaf,0,Pryor,0,Porter,0
QAc-G-0063,/Arnold,Kessler,48.812,Magazine,40.526,Sugar_Loaf,10.662,Porter,0,Pryor,0
QAc-G-0064,/Arnold,Porter,58.063,Kessler,38.316,Magazine,3.62,Pryor,0,Sugar_Loaf,0
QAc-G-0065,/Arnold,Magazine,99.999,Porter,0.001,Pryor,0,Sugar_Loaf,0,Kessler,0
QAc-G-0066,/Arnold,Sugar_Loaf,71.201,Kessler,19.179,Magazine,9.087,Pryor,0.533,Porter,0
QAc-G-0067,/Arnold,Magazine,96.474,Kessler,3.51,Sugar_Loaf,0.016,Porter,0,Pryor,0
QAc-G-0068,/Arnold,Magazine,94.911,Sugar_Loaf,5.088,Kessler,0,Pryor,0,Porter,0
QAc-G-0070,/Arnold,Sugar_Loaf,81.575,Magazine,17.771,Kessler,0.649,Porter,0.005,Pryor,0
QAc-G-0071,/Arnold,Magazine,99.985,Pryor,0.014,Kessler,0.001,Porter,0,Sugar_Loaf,0
QAc-G-0072,/Arnold,Sugar_Loaf,91.584,Pryor,5.073,Magazine,2.105,Porter,1.127,Kessler,0.11
QAc-G-0073,/Arnold,Sugar_Loaf,62.554,Kessler,36.12,Porter,1.255,Pryor,0.07,Magazine,0
QAc-G-0074,/Arnold,Sugar_Loaf,89.112,Kessler,10.572,Porter,0.315,Pryor,0.001,Magazine,0
QAc-G-0075,/Arnold,Sugar_Loaf,65.255,Kessler,32.221,Porter,1.786,Pryor,0.738,Magazine,0.001
QAc-G-0076,/Arnold,Porter,96.356,Kessler,2.966,Sugar_Loaf,0.633,Magazine,0.044,Pryor,0
QAc-G-0080,/Arnold,Pryor,94.784,Kessler,3.036,Magazine,1.545,Sugar_Loaf,0.634,Porter,0
QAc-G-0081,/Arnold,Sugar_Loaf,99.883,Kessler,0.117,Porter,0,Magazine,0,Pryor,0
