Ind,Pop,Sample_Pop
QAc-G-0029,/AP,Pryor
QAc-G-0030,/AP,Pryor
QAc-G-0031,/AP,Pryor
QAc-G-0061,/Arnold,Pryor
QAc-G-0062,/Arnold,Magazine
QAc-G-0063,/Arnold,Magazine
QAc-G-0064,/Arnold,Magazine
QAc-G-0065,/Arnold,Magazine
QAc-G-0066,/Arnold,Magazine
QAc-G-0067,/Arnold,Magazine
QAc-G-0068,/Arnold,Magazine
QAc-G-0070,/Arnold,Magazine
QAc-G-0071,/Arnold,Magazine
QAc-G-0072,/Arnold,Magazine
QAc-G-0073,/Arnold,Porter
QAc-G-0074,/Arnold,Porter
QAc-G-0075,/Arnold,Porter
QAc-G-0076,/Arnold,Porter
QAc-G-0077,/Arnold,Pryor
QAc-G-0078,/Arnold,Pryor
QAc-G-0079,/Arnold,Pryor
QAc-G-0080,/Arnold,Pryor
QAc-G-0081,/Arnold,Sugarloaf
QAc-G-0082,/Arnold,Sugarloaf
QAc-G-0083,/Arnold,Magazine
QAc-G-0001,/Bartlett,NONE
QAc-G-0002,/Bartlett,NONE
QAc-G-0285,/CBG,NONE
QAc-G-0286,/CBG,NONE
QAc-G-0287,/CBG,NONE
QAc-G-0288,/CBG,NONE
QAc-G-0289,/CBG,NONE
QAc-G-0290,/CBG,NONE
QAc-G-0291,/CBG,NONE
QAc-G-0292,/CBG,NONE
QAc-G-0293,/CBG,NONE
QAc-G-0294,/CBG,NONE
QAc-G-0295,/CBG,NONE
QAc-G-0296,/CBG,NONE
QAc-G-0297,/CBG,NONE
QAc-G-0298,/CBG,NONE
QAc-G-0299,/CBG,NONE
QAc-G-0300,/CBG,NONE
QAc-G-0301,/CBG,NONE
QAc-G-0302,/CBG,NONE
QAc-G-0303,/CBG,NONE
QAc-G-0304,/CBG,NONE
QAc-G-0305,/CBG,NONE
QAc-G-0306,/CBG,NONE
QAc-G-0307,/CBG,NONE
QAc-G-0308,/CBG,NONE
QAc-G-0309,/CBG,NONE
QAc-G-0310,/CBG,NONE
QAc-G-0311,/CBG,NONE
QAc-G-0312,/CBG,NONE
QAc-G-0313,/CBG,NONE
QAc-G-0314,/CBG,NONE
QAc-G-0315,/CBG,NONE
QAc-G-0316,/CBG,NONE
QAc-G-0032,/DBG,Magazine
QAc-G-0033,/DBG,Porter
QAc-G-0034,/DBG,Porter
QAc-G-0035,/DBG,Porter
QAc-G-0036,/DBG,Porter
QAc-G-0037,/DBG,Porter
QAc-G-0038,/DBG,Porter
QAc-G-0039,/DBG,Porter
QAc-G-0040,/DBG,Porter
QAc-G-0041,/DBG,Porter
QAc-G-0042,/DBG,Porter
QAc-G-0043,/DBG,Porter
QAc-G-0044,/DBG,Porter
QAc-G-0045,/DBG,Porter
QAc-G-0046,/DBG,Porter
QAc-G-0047,/DBG,Porter
QAc-G-0048,/DBG,Porter
QAc-G-0049,/DBG,Pryor
QAc-G-0050,/DBG,Pryor
QAc-G-0051,/DBG,Pryor
QAc-G-0052,/DBG,Pryor
QAc-G-0053,/DBG,Pryor
QAc-G-0054,/DBG,Pryor
QAc-G-0055,/DBG,Pryor
QAc-G-0056,/DBG,Pryor
QAc-G-0057,/DBG,Pryor
QAc-G-0058,/DBG,Pryor
QAc-G-0059,/DBG,Pryor
QAc-G-0060,/DBG,Pryor
QAc-G-0276,/FGT,Magazine
QAc-G-0279,/FGT,Porter
QAc-G-0280,/FGT,Porter
QAc-G-0281,/FGT,Pryor
QAc-G-0018,/HBG,Porter
QAc-G-0019,/HBG,Porter
QAc-G-0020,/HBG,Porter
QAc-G-0021,/HBG,Pryor
QAc-G-0022,/HBG,Pryor
QAc-G-0023,/HBG,Pryor
QAc-G-0024,/HBG,Pryor
QAc-G-0016,/HBG,Porter
QAc-G-0017,/HBG,Porter
QAc-G-0250,/Meis,NONE
QAc-G-0003,/MBG,NONE
QAc-G-0004,/MBG,NONE
QAc-G-0005,/MBG,NONE
QAc-G-0006,/MBG,NONE
QAc-G-0283,/Moore,NONE
QAc-G-0265,/MA,Pryor
QAc-G-0266,/MA,Pryor
QAc-G-0267,/MA,Magazine
QAc-G-0268,/MA,Magazine
QAc-G-0269,/MA,Magazine
QAc-G-0270,/MA,Pryor
QAc-G-0271,/MA,Pryor
QAc-G-0272,/MA,Pryor
QAc-G-0273,/MA,Magazine
QAc-G-0274,/MA,Pryor
QAc-G-0251,/Peckerwood,Porter
QAc-G-0252,/Peckerwood,Porter
QAc-G-0253,/Peckerwood,Pryor
