Assigned sample,Ind,Sample_Pop,Assign_Pop_1,Percent_1,Assign_Pop_2,Percent_2,Assign_Pop_3,Percent_3
/AP,QAc-G-0029,Pryor,Magazine_Pryor_Kessler,92.612,Sugarloaf,6.648,Porter,0.74
/AP,QAc-G-0030,Pryor,Magazine_Pryor_Kessler,99.913,Porter,0.06,Sugarloaf,0.027
/Arnold,QAc-G-0061,Pryor,Porter,75.043,Magazine_Pryor_Kessler,24.957,Sugarloaf,0
/Arnold,QAc-G-0062,Pryor,Magazine_Pryor_Kessler,99.994,Porter,0.006,Sugarloaf,0
/Arnold,QAc-G-0063,Magazine,Magazine_Pryor_Kessler,99.948,Porter,0.052,Sugarloaf,0
/Arnold,QAc-G-0064,Magazine,Porter,99.278,Magazine_Pryor_Kessler,0.722,Sugarloaf,0
/Arnold,QAc-G-0065,Magazine,Porter,77.644,Magazine_Pryor_Kessler,22.356,Sugarloaf,0
/Arnold,QAc-G-0066,Magazine,Magazine_Pryor_Kessler,65.94,Porter,34.041,Sugarloaf,0.018
/Arnold,QAc-G-0067,Magazine,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/Arnold,QAc-G-0068,Magazine,Magazine_Pryor_Kessler,99.782,Sugarloaf,0.203,Porter,0.014
/Arnold,QAc-G-0070,Magazine,Magazine_Pryor_Kessler,95.7,Porter,4.118,Sugarloaf,0.182
/Arnold,QAc-G-0071,Magazine,Magazine_Pryor_Kessler,99.618,Porter,0.382,Sugarloaf,0
/Arnold,QAc-G-0072,Magazine,Magazine_Pryor_Kessler,93.596,Porter,6.398,Sugarloaf,0.006
/Arnold,QAc-G-0073,Porter,Magazine_Pryor_Kessler,94.14,Porter,5.834,Sugarloaf,0.026
/Arnold,QAc-G-0074,Porter,Porter,98.338,Magazine_Pryor_Kessler,1.656,Sugarloaf,0.006
/Arnold,QAc-G-0075,Porter,Magazine_Pryor_Kessler,99.4,Sugarloaf,0.597,Porter,0.004
/Arnold,QAc-G-0076,Porter,Porter,99.996,Magazine_Pryor_Kessler,0.004,Sugarloaf,0
/Arnold,QAc-G-0080,Pryor,Magazine_Pryor_Kessler,100,Sugarloaf,0,Porter,0
/Arnold,QAc-G-0081,Pryor,Magazine_Pryor_Kessler,99.113,Sugarloaf,0.786,Porter,0.101
/Arnold,QAc-G-0082,Sugarloaf,Magazine_Pryor_Kessler,100,Sugarloaf,0,Porter,0
/Arnold,QAc-G-0083,Sugarloaf,Magazine_Pryor_Kessler,89.848,Porter,10.152,Sugarloaf,0
/Bartlett,QAc-G-0001,Sugarloaf,Magazine_Pryor_Kessler,94.096,Porter,5.904,Sugarloaf,0
/CBG,QAc-G-0285,,Magazine_Pryor_Kessler,99.923,Porter,0.077,Sugarloaf,0
/CBG,QAc-G-0286,,Magazine_Pryor_Kessler,97.019,Porter,2.981,Sugarloaf,0.001
/CBG,QAc-G-0287,,Magazine_Pryor_Kessler,99.995,Porter,0.005,Sugarloaf,0
/CBG,QAc-G-0288,,Sugarloaf,60.914,Magazine_Pryor_Kessler,31.212,Porter,7.875
/CBG,QAc-G-0292,,Magazine_Pryor_Kessler,99.993,Porter,0.007,Sugarloaf,0
/CBG,QAc-G-0294,,Porter,99.963,Magazine_Pryor_Kessler,0.035,Sugarloaf,0.002
/CBG,QAc-G-0295,,Magazine_Pryor_Kessler,99.998,Porter,0.002,Sugarloaf,0
/CBG,QAc-G-0296,,Magazine_Pryor_Kessler,86.166,Porter,13.346,Sugarloaf,0.487
/CBG,QAc-G-0297,,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/CBG,QAc-G-0298,,Magazine_Pryor_Kessler,99.575,Porter,0.408,Sugarloaf,0.017
/CBG,QAc-G-0299,,Magazine_Pryor_Kessler,51.295,Porter,47.939,Sugarloaf,0.766
/CBG,QAc-G-0300,,Magazine_Pryor_Kessler,97.381,Porter,2.618,Sugarloaf,0
/CBG,QAc-G-0301,,Magazine_Pryor_Kessler,99.98,Porter,0.019,Sugarloaf,0.001
/CBG,QAc-G-0302,,Magazine_Pryor_Kessler,99.958,Porter,0.041,Sugarloaf,0
/CBG,QAc-G-0303,,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/CBG,QAc-G-0305,,Magazine_Pryor_Kessler,79.625,Porter,15.601,Sugarloaf,4.774
/CBG,QAc-G-0307,,Magazine_Pryor_Kessler,99.996,Porter,0.004,Sugarloaf,0
/CBG,QAc-G-0308,,Magazine_Pryor_Kessler,90.575,Porter,8.904,Sugarloaf,0.52
/CBG,QAc-G-0309,,Magazine_Pryor_Kessler,99.467,Porter,0.513,Sugarloaf,0.02
/CBG,QAc-G-0312,,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/CBG,QAc-G-0313,,Magazine_Pryor_Kessler,99.35,Porter,0.626,Sugarloaf,0.024
/CBG,QAc-G-0314,,Magazine_Pryor_Kessler,79.789,Sugarloaf,16.631,Porter,3.581
/CBG,QAc-G-0315,,Porter,70.048,Magazine_Pryor_Kessler,26.958,Sugarloaf,2.994
