,,,rank,score,,rank,score,,rank,score,,rank,score,,rank,score,,Porter,Magazine,Pryor,SL,Kessler,Nb. of loci,Used loci,Missing loci
,Assigned sample,,1,%,,2,%,,3,%,,4,%,,5,%,,'-log(L),'-log(L),'-log(L),'-log(L),'-log(L),,,
QAc-G-0029,/AP,summit of Pryor Mtn,SL,89.161,,Porter,9.924,,Magazine,0.891,,Kessler,0.023,,Pryor,0,,37.554,38.601,42.034,36.6,40.187,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0030,/AP,summit of Pryor Mtn,Magazine,88.571,,Porter,7.792,,SL,3.476,,Pryor,0.148,,Kessler,0.013,,33.427,32.371,35.148,33.778,36.192,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0061,/Arnold,summit of Pryor Mtn,Kessler,54.042,,Porter,45.955,,Pryor,0.003,,Magazine,0,,SL,0,,38.747,43.918,43.005,44.893,38.677,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0062,/Arnold,S side of Pryor mtn. ,Magazine,99.999,,Kessler,0,,Porter,0,,Pryor,0,,SL,0,,36.739,31.343,41.058,43.618,36.721,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0063,/Arnold,Magazine Mountain,Kessler,96.26,,Magazine,2.506,,Porter,1.228,,SL,0.005,,Pryor,0.001,,35.066,34.756,38.269,37.455,33.171,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0064,/Arnold,Magazine Mountain,Porter,93.109,,Magazine,5.281,,Kessler,1.61,,SL,0,,Pryor,0,,32.062,33.308,41.097,41.056,33.824,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0065,/Arnold,Southeast of Magazine Mountain,Magazine,99.759,,Porter,0.241,,Pryor,0,,Kessler,0,,SL,0,,36.742,34.125,40.73,43.793,42.394,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0066,/Arnold,Southeast of Magazine Mountain,Kessler,75.666,,Porter,13.934,,Magazine,10.335,,Pryor,0.057,,SL,0.008,,34.951,35.081,37.339,38.219,34.216,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0067,/Arnold,Southeast of Magazine Mountain,Magazine,99.997,,Kessler,0.003,,Porter,0,,SL,0,,Pryor,0,,39.628,34.098,45.55,41.644,38.631,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
